Sample	posterior	likelihood	prior	Tree.t:simulated_data_A.CFheight	Tree.t:simulated_data_A.CFlength	Tree.t:simulated_data_A.nConv	Tree.t:simulated_data_A.nUselessConvs	Tree.t:simulated_data_A.meanEdgeLength	Tree.t:simulated_data_A.meanDepartureHeight	Tree.t:simulated_data_A.locus.simulated_data_A.meanTractLength	Tree.t:simulated_data_A.locus.simulated_data_A.meanRegionLength	Tree.t:simulated_data_A.locus.simulated_data_A.meanStartSite	Tree.t:simulated_data_A.locus.simulated_data_A.meanEndSite	Tree.t:simulated_data_A.locus.simulated_data_A.randomStartSite	Tree.t:simulated_data_A.locus.simulated_data_A.randomEndSite	Tree.t:simulated_data_A.locus.simulated_data_B.meanTractLength	Tree.t:simulated_data_A.locus.simulated_data_B.meanRegionLength	Tree.t:simulated_data_A.locus.simulated_data_B.meanStartSite	Tree.t:simulated_data_A.locus.simulated_data_B.meanEndSite	Tree.t:simulated_data_A.locus.simulated_data_B.randomStartSite	Tree.t:simulated_data_A.locus.simulated_data_B.randomEndSite	popFinalSize.t:simulated_data_A	popGrowthRate.t:simulated_data_A
804000	-21390.837887275007	-20927.023747660445	-463.814139614563	3.737840595139569	18.70555433010092	23	0	0.36363807024891065	0.9086088100156477	492.42857142857144	187.47826086956522	1742.642857142857	2234.0714285714284	3498.0	2671.0	321.8888888888889	161.91666666666666	2430.222222222222	2751.1111111111113	1849.0	615.0	4.302346628890449	0.6855645797810526
805000	-21368.095535256012	-20926.37405711878	-441.72147813723086	3.8018511811390083	19.23563492152792	22	0	0.412281195144058	0.8459585636004835	364.09090909090907	173.1764705882353	2388.4545454545455	2751.5454545454545	2919.0	848.0	398.90909090909093	182.76470588235293	2129.818181818182	2527.7272727272725	3069.0	3286.0	5.476712605688122	0.6295859703683098
806000	-21284.834685364924	-20923.078435053692	-361.75625031122996	3.5518892983114525	18.092069593062586	18	0	0.31647465101385	0.8862172754351835	403.3333333333333	255.375	1832.3333333333333	2234.6666666666665	1792.0	4581.0	307.9166666666667	175.26666666666668	2116.5833333333335	2423.5	3032.0	2024.0	7.042994886875857	0.9207302628147479
807000	-21318.400190428845	-20928.944152643442	-389.45603778540425	3.704340076599445	18.340539657906366	19	0	0.35410962374830146	0.59764286398674	256.7	142.46666666666667	1900.5	2156.2	684.0	848.0	248.66666666666666	142.0	2282.0	2529.6666666666665	3371.0	4999.0	6.119861059677271	0.9984135082753006
808000	-21314.78814721331	-20924.411665426665	-390.37648178664176	3.6013386579936344	18.8356038164415	19	0	0.3246420168306534	0.8084145436504184	367.9	212.92857142857142	1802.1	2169.0	434.0	4922.0	389.6666666666667	280.7	1800.3333333333333	2189.0	101.0	623.0	6.183977675808756	0.9553740923857362
809000	-21244.443913210293	-20922.59428468958	-321.849628520712	3.8193148068552603	19.698054678985887	15	0	0.5012661501220547	0.8483887128288349	364.625	224.63636363636363	1546.5	1910.125	1742.0	2294.0	503.7142857142857	295.55555555555554	2497.285714285714	3000.0	4413.0	623.0	10.719610620016654	0.8523665203008166
810000	-21248.689585498334	-20923.562552583207	-325.1270329151263	3.9088818404327457	20.274747151767173	15	0	0.5764187792165918	0.7547661069876995	396.625	287.8	2410.125	2805.75	729.0	2991.0	494.7142857142857	298.8888888888889	2505.8571428571427	2999.5714285714284	4401.0	2858.0	10.54323869874656	0.9259354676938163
811000	-21201.97050863592	-20926.677335376706	-275.2931732592142	3.4920403834946887	19.232703963951803	12	0	0.4232815380958966	0.6855312462744972	509.8333333333333	263.8888888888889	1243.3333333333333	1752.1666666666667	753.0	191.0	360.5	208.375	1840.0	2199.5	0.0	610.0	6.608754070175127	0.35913931753043543
812000	-21281.722399862836	-20922.432678718353	-359.2897211444819	3.6295218312372546	19.096527790958575	17	0	0.5948095922329328	0.9395329473381022	279.3333333333333	158.46153846153845	1690.7777777777778	1969.111111111111	745.0	2291.0	352.0	201.88888888888889	1995.25	2346.25	3308.0	610.0	5.187449251019388	0.5497275065754151
813000	-21405.33894230924	-20932.989642454653	-472.3492998545874	3.6787889378211176	18.399078578971974	24	0	0.4727986975446297	1.2370810830656807	422.4	151.94444444444446	1480.5	1901.9	1241.0	3194.0	387.7142857142857	163.9090909090909	2330.8571428571427	2717.5714285714284	4401.0	4999.0	5.359947627397383	0.6254457525981241
814000	-21326.655020083548	-20921.99136772337	-404.6636523601785	3.771632819020711	19.80523154836602	19	0	0.45436857084085586	0.5391607322128573	442.4166666666667	131.1	1654.0833333333333	2095.5	3189.0	4975.0	471.2857142857143	225.2	2084.4285714285716	2554.714285714286	2723.0	4935.0	7.3910774250644335	0.6558459549218266
815000	-21295.240699987415	-20926.69897939473	-368.5417205926846	3.4153373787738257	18.640035372252896	17	0	0.5307340698818548	0.6651015397983437	301.75	197.72727272727272	2089.875	2390.625	1061.0	4722.0	411.22222222222223	188.0	2116.4444444444443	2526.6666666666665	3347.0	2853.0	7.93541675879729	1.1078519767572697
816000	-21299.1355415583	-20926.916919472336	-372.21862208596286	3.226963271347887	17.527785882123283	19	0	0.5083359473640751	0.8020018725156015	310.3333333333333	207.125	1807.3333333333333	2116.6666666666665	3189.0	823.0	341.0769230769231	143.76470588235293	2265.846153846154	2605.923076923077	378.0	4999.0	6.592641686732904	0.7059052432826428
817000	-21364.461131568525	-20926.73233208942	-437.7287994791038	3.5514750468684677	18.36345039388811	21	0	0.5120942432010592	1.0471983975772443	381.1818181818182	162.2941176470588	2366.3636363636365	2746.5454545454545	1809.0	3318.0	545.3	275.8666666666667	2412.4	2956.7	2700.0	609.0	7.6001136995474585	0.6914315080365706
818000	-21319.43956385741	-20923.559025519637	-395.8805383377745	3.6036054262012014	18.860075987169182	19	0	0.4999824864108852	1.087433250358215	288.2	288.2	2434.4	2721.6	1758.0	3430.0	560.0714285714286	189.04347826086956	1978.4285714285713	2537.5	0.0	1005.0	9.4480110668815	0.9136609492173863
819000	-21424.182928707298	-20917.40838072244	-506.7745479848566	3.9175949054495725	19.990010574860342	27	0	0.40527268018010115	1.2670645313463906	235.7	187.91666666666666	2677.9	2912.6	3203.0	2864.0	401.2352941176471	118.57692307692308	1991.1176470588234	2391.3529411764707	2743.0	637.0	7.391025834587619	0.6772124336015957
820000	-21409.096719797366	-20912.847284122214	-496.24943567515135	4.034639598289496	19.926150827130904	26	0	0.44651536111527435	1.1208168334041138	274.1666666666667	157.25	1952.0833333333333	2225.25	389.0	4247.0	386.42857142857144	143.6315789473684	1946.5714285714287	2332.0	0.0	335.0	7.448144750796269	0.8802613892403469
821000	-21370.900389200597	-20921.200686817843	-449.6997023827533	3.8021674451469134	19.310789674220615	22	0	0.53207703177143	0.9353340898480788	285.6666666666667	178.8181818181818	2739.3333333333335	3024.0	1761.0	2841.0	372.46153846153845	165.3684210526316	2447.153846153846	2818.6153846153848	4405.0	3548.0	6.36503489947297	0.8802613892403469
822000	-21312.10523420713	-20922.870194530245	-389.2350396768859	3.737756152327815	18.69147415428015	19	0	0.4444710555225209	0.8974466922976987	319.42857142857144	210.88888888888889	1937.0	2255.4285714285716	1057.0	2284.0	501.6666666666667	198.83333333333334	2491.25	2991.9166666666665	2684.0	3671.0	5.894618541470842	0.5940955163396374
